Cultivar,LTE,Date,PI,DataType,Location
Cabernet_Sauvignon,-5.3,10/15/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-9.4,10/15/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-9.8,10/15/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-10.1,10/15/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-10.2,10/15/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-10.5,10/15/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-11.1,10/15/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-11.5,10/15/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-8.2,10/22/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-10.7,10/22/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-11.4,10/22/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-11.8,10/22/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-12.1,10/22/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-12.1,10/22/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-12.8,10/22/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-10,10/29/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-14.4,10/29/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-14.6,10/29/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-15.3,10/29/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-15.5,10/29/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-16,10/29/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-16.6,10/29/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-9,11/5/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-9.4,11/5/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-10.6,11/5/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-12,11/5/15,Kovaleski,RawLTE,Geneva
Cabernet_Sauvignon,-12.7,11/5/15,Kovaleski,RawLTE,Geneva
